id,title,themes_before,themes_after
cmijlmepz006goxc8pqd791fh,"Realistic Cooking Mod","kitchen",""
cmigtwwe5001doxkzonls9exq,"Soul food","kitchen",""
cmijkw64z0041oxc85qnqhdzp,"Breakfast Foods","kitchen",""
cmim9vkim000dox9sz6dw72dp,"Sims 4 Toddler Play Kitchen Mod","kitchen",""
cmijo06e300myoxc8zm37gwls,"Stainless Steel Fridge and Stove","modern|streetwear","modern|streetwear|kitchen"
cmoipyd210024oxkjm0pe73xn,"Luma House","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmigtwzuu001foxkzluu73fi6,"Caribbean Recipe Pack","kitchen",""
cmijj5h4f0046oxs3oul4askq,"Kellogg’s Set","kitchen",""
cmim9n4gz00ivoxy7vqmtldve,"Sims 4 Functional Toddler Toy CC","kitchen",""
cmijlmkct006koxc8o8gibufe,"Food Shop Delivery","kitchen",""
cmijkvpou003soxc8n45hprol,"Healthy Breakfasts With Avocado","kitchen|living-room","living-room"
cmigtx3bk001ioxkzewfg4sil,"Jollof Rice, Egusi soup with fufu and Moi Moi","kitchen",""
cmim9kano0044oxy77bggmhrv,"Sims 4 Freelance Chef Active Career","kitchen",""
cmijlmmdu006loxc8bwaqia4o,"Srsly’s Complete Cooking Overhaul","kitchen",""
cmijo276e00nroxc8b8a2bzkt,"Marble Wall Tiles Divorces for Walls and Floor","bathroom|kitchen","bathroom"
cmijkvx11003woxc8ja7zqwtk,"Breakfast Cereals With Milk","kitchen",""
cmim9kad50040oxy78vyp9rq3,"Sims 4 Work From Home Mod for Base Game Careers","kitchen",""
cmijj5nn7004aoxs3h1feiheu,"Random Foods Part 2","kitchen",""
cmim9nhuh00k3oxy7cs5ciwls,"Experimental Food without trying in a restaurant","kitchen",""
cmijkvrwg003toxc84szetpzv,"English Breakfasts","kitchen",""
cmihbt5oj0027oxkzdnhkq9ql,"Sims 4 Custom Food KFC Fried Chicken","kitchen",""
cmil0xmjt005poxeej4hwcbfn,"Hello Kitty Fridge","","kitchen"
cmqpy0b0e003koxeej162k77r,"Hirose Yoshimi","bathroom|kitchen|living-room|dining-room|outdoor","bathroom|living-room|dining-room|outdoor"
cmigtx4iu001joxkzd64zwfuh,"Bouillabaisse, Coq-au-vin and Nicoise – “French Cuisine”","kitchen",""
cmsmcayrc00o3oxeu7jgnlct2,"Medieval Cookbook","kitchen",""
cmijklbnn0022oxc85gfooy3p,"Bonus Challenge: MasterChef Oasis Springs Edition","spring|kitchen","spring"
cmknf8qkd0026oxol0ggm92le,"Bansi House","bathroom|kitchen|living-room|dining-room","bathroom|living-room|dining-room"
cmim8s8ex004joxy8zsgsjwrt,"Realistic Cooking Mod","kitchen",""
cmijqdl5801h0oxc8yfbagqli,"Pink Marble Tile Wall","bathroom|kitchen","bathroom"
cmigu58gv001uoxkza3kn6ljl,"Sims 4 Bibimbap Recipe","kitchen",""
cmim9oi6z00nqoxy7cjvvr30e,"Shop Chef Ingredients","kitchen",""
cmijkopc3003ioxc8a0v4ottt,"Bakery Career","kitchen",""
cmijkl9re0021oxc8l8w9d1a7,"The Sims Master Chef Challenge","kitchen",""
cmih2smen001woxkz54ctnsmy,"Sims 4 Overnight Oats","kitchen",""
cmqpy0bzo003roxeekyh7ukc3,"Friendly Neighborhood","bathroom|kitchen|living-room|dining-room|nursery","bathroom|living-room|dining-room|nursery"
cmky91t9000nloxhcbtgypw1z,"Culinary Caddy Add-On","kitchen",""
cmudyvjtn0008oxc2m5l1y3e0,"Iced Pumpkin Latte","kitchen",""
cmqpy0aqt003goxee02gzhyhr,"Britchester Dormitory","kitchen|living-room|dining-room|outdoor|office","living-room|dining-room|outdoor|office"
cmoipyd570025oxkjl6vgg6z6,"Montague Manor","bathroom|kitchen","bathroom"
cmqpy09xl0034oxeent2iu2ig,"Dynasty House","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmsmd0kq4011toxeu0pirj8i6,"The Terra Amorosa Tennis Club","bathroom|kitchen|dining-room|outdoor","bathroom|dining-room|outdoor"
cmsmcu5bc00y8oxeu2plh0pwt,"Keratin","kitchen",""
cmigu1q9b001roxkzee2wz1o6,"Cherry Blossom Matcha Latte","kitchen",""
cmknfajut005yoxolky1gjaje,"Modern Starter House","bathroom|kitchen|office","bathroom|office"
cmim92uf601tqoxy8b40kxr3e,"Petit Chef Kitchen Kid Toddler CC Sims 4","fantasy|kitchen","fantasy"
cmsmb2in8000hoxeu92kiqnnr,"Female Apron Accessory","kitchen",""
cmijj5b430042oxs3qafrmknm,"MyxDoll Sven Hard’s Snack Decor","kitchen",""
cmsmb8gc7003eoxeuzhmc38c3,"Functional Cake Override","kitchen",""
cmigtx112001goxkzk0n6mqmy,"Jerk Chicken","kitchen|outdoor","outdoor"
cmih2spes001xoxkzbb8x826l,"Sims 4 Mushroom Risotto Recipe","kitchen",""
cmijpu4zg018goxc8comkvach,"Savant Trait Faster Skills","kitchen",""
cmijpuegn018loxc8w3cikm1f,"Coward Trait","kitchen",""
cmsmb3abk0012oxeuhofdz5m0,"Cook Apron for Toddler to Adult","kitchen",""
cmih2sx1q0022oxkzt621iv49,"Sims 4 Chicken and Waffles Recipe","kitchen",""
cmqpyke6j008loxeerlyyavhy,"Ws Penthouse Vampire Lestat","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmigtx798001loxkzl81ux618,"All Baking from the Cupcake Machine","kitchen",""
cmknfb7yj007loxolgs63w2vw,"Colrain Wall Panels and Shelves CC","kitchen|dining-room","dining-room"
cmqpy09q90031oxee9t6ktwof,"Axis House","bathroom|kitchen|living-room|dining-room|outdoor","bathroom|living-room|dining-room|outdoor"
cmihs8xr9002coxkzl3taanx6,"Sims 4 Buffalo Chicken Pizza","kitchen",""
cmsmcn7ef00uhoxeujdmammzr,"Srsly’s Pottery Overhaul","kitchen",""
cmsmbgff3007soxeue9qvju1w,"Morning Dew Starter","bathroom|kitchen|living-room|dining-room","bathroom|living-room|dining-room"
cmkyc4r8100uvoxhclz0yspal,"80s Things Stranger Edition","kitchen",""
cmsmbgaqb007ooxeusals3btq,"Base Game Addon, Part 3","kitchen|outdoor","outdoor"
cmil0z587006koxeeh0ft6irw,"The Midnight Hour Fitted Fridge","modern|luxury","modern|luxury|kitchen"
cmijpud4b018koxc8ygbpzoen,"Born Chef Trait","kitchen",""
cmsmcb8ea00oaoxeui2peghw7,"Ye Medieval Loarre Decorative","kitchen|living-room","living-room"
cml5sidng0029oxxrr1azbsd2,"Christmas Decor 2021","kitchen|living-room","living-room"
cmil0y6ks005yoxeevpuisim0,"New York Christmas Refrigerator","christmas|modern|luxury","christmas|modern|luxury|kitchen"
cmsmb6167002doxeua2le0btm,"Baby Reveal Cake","bathroom|kitchen","bathroom"
cmim92u3v01tmoxy8v6myuck7,"Pressure Cooker And 9 Homemade Dishes","kitchen",""
cmsmb8ppc003loxeuaso7w5lj,"Birthday Cake","kitchen",""
cmim9nhbu00juoxy7mk3d0neg,"Random Small Mods (RSM) Restaurant Faster Cooking (Dine Out)","kitchen",""
cmqpy09vd0033oxeeqslmf068,"Solana Family House","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmmvarbxf009poxzge31uevfs,"MyxDoll Vday Edible Snacks","kitchen",""
cmmvarpum00b9oxzgmm7wecyn,"Westcourt Apartments","bathroom|kitchen|living-room|dining-room|outdoor","bathroom|living-room|dining-room|outdoor"
cmijnzqwf00mooxc83dbo92zv,"Y2K Corncordia Appliances","y2k|modern|fantasy","y2k|modern|fantasy|kitchen"
cmknf8q8z0020oxolk6jf8l0v,"Winter Lodge","bathroom|kitchen|living-room|dining-room","bathroom|living-room|dining-room"
cmu3yzosd0006oxzdesihte0z,"Bath & Body Works Candle – Winter Collection","bathroom|kitchen","bathroom"
cmijklcwo0023oxc8dzsmy520,"Flavors of Life Legacy Challenge","kitchen",""
cmsmbc4wy005hoxeu08sl17kt,"Ornamentti Floors and Wallpapers","bathroom|kitchen","bathroom"
cmsmbc79l005joxeuofcwb2mw,"Morning","kitchen",""
cmsmcs1dr00x5oxeup0gxw9v5,"Cactus Ranch","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmsmbcbi8005moxeurjtrz05n,"The Pearlsand Bungalow","bathroom|kitchen|living-room|dining-room|outdoor","bathroom|living-room|dining-room|outdoor"
cmsmbce45005ooxeu4zpk6ze9,"Ander","bathroom|kitchen|living-room|dining-room|outdoor|office","bathroom|living-room|dining-room|outdoor|office"
cmil0y0hw005uoxee80r4aa4y,"SMEGlish Mini Fridge","vintage|minimalist","vintage|minimalist|kitchen"
cmil0p5lx001moxeer6pg4qts,"Little Ceramics","kitchen",""
cmil0z07q006goxeejlepnqgn,"Wine Fridge","winter|modern","winter|modern|kitchen"
cmil0pkzt001voxeemfgu2qsh,"Nature In Living Green Wall 1","kitchen|outdoor","outdoor"
cmijiwzis000hoxs3hf57iiwx,"Thanksgiving Paintings","kitchen|living-room","living-room"
cmijiyvlv0015oxs3qhbl3vgj,"Bake Day Pose Pack","kitchen",""
cmim92tz401tkoxy8dm7dtvpc,"Bake It Up Stand Mixer And Cookbook","kitchen",""
cmmvaol8x001uoxzga6wvsjle,"Matcha Set","kitchen",""
cmigu5b1r001voxkzfxs0h5fq,"Sims 4 Custom Ratatouille","kitchen",""
cmil0xyq3005toxee75678w8l,"Poor Refrigerator","vintage|minimalist","vintage|minimalist|kitchen"
cmih2t0d60025oxkzclmojwv0,"Sims 4 Stuffed Peppers Recipe","kitchen",""
cmttzirbq00croxfeyr2hb760,"Counter Kissing Animation","kitchen",""
cmijo00ou00muoxc8unyfjt1u,"Organic Oasis Hotel Suite Mini Fridge","luxury","luxury|kitchen"
cmil0yrra006aoxeer24xexgc,"RH Contempo Fridge","modern","modern|kitchen"
cmim8uce600c6oxy85j5yyap2,"Baking A Mess","kitchen",""
cmknfby9i0092oxol975oxrx2,"Festive Appetizers","kitchen",""
cmim9nckg00izoxy7tjv6n4wv,"Sims 4 Barbie Camper No CC Creator: Kate Emerald","bathroom|kitchen|living-room|outdoor","bathroom|living-room|outdoor"
cmil0ymdo0066oxeekimgwuxa,"Mini Fridge","","kitchen"
cmknfbcrb007zoxol332a83bv,"Stylish Appliances Coffee Maker","","kitchen"
cmknfb6xh0076oxolnc7cfhua,"Naturalis Dining 1×1 Shelves CC","kitchen|living-room|dining-room","living-room|dining-room"
cmim93yu901xxoxy895ofxwpt,"GTRACING Gaming Desk","kitchen",""
cmijkr0bx003poxc8bn221v4h,"Sweet Pastry Roll collection","kitchen",""
cmih2sr1v001yoxkzy5tcabx6,"Sims 4 Custom Tamale Recipe","kitchen",""
cmih2su460020oxkzuu5a2z1y,"Custom BBQ Ribs & Baked Beans for Sims 4","kitchen|outdoor","outdoor"
cmih2szat0024oxkz8oku9zhc,"Sims 4 Wagyu Steak","kitchen",""
cmijivb2z0006oxs3bi8sjswn,"Sims 4 Custom Birthday Cake","kitchen",""
cmihs8w8g002boxkzkjqgmiff,"Sims 4 Egg Drop Soup","kitchen",""
cmihs9400002foxkz6fm0itgo,"Sims 4 Kimchi Fried Rice","kitchen",""
cmii31tz8002hoxkzfmls9bkb,"Sims 4 Custom Wedding Cake","kitchen",""
cmsmc3e5000jyoxeueisl1xi7,"Hotel Build Lot Sims 4","bathroom|kitchen|outdoor","bathroom|outdoor"
cmsmcb05200o4oxeums8swx42,"Bannocks – Medieval Recipe","kitchen",""
cmsmcebvr00psoxeux1ccszgy,"Victorian Range","kitchen",""
cmsmceelf00puoxeuhhnxcgl2,"Off the Grid Recipe Fix Override","kitchen",""
cmsmcemgi00q1oxeu2hw98ys6,"Cottage-Inspired Fireplace Stove","kitchen",""
cmsmcev4t00q8oxeuer8q8erc,"Sims 4 Canning Mod – Soup Stocks","kitchen",""
cmsmchuzu00ruoxeuew1qc284,"Ship “Sparkling Seahorse”","kitchen|living-room|outdoor","living-room|outdoor"
cmim8vv9k00l5oxy8eydgow04,"Auto Check Toddler and Infants Tweak","kitchen",""
cmsmcmdx200u1oxeuz2l8fcvo,"Police Station","kitchen|living-room|dining-room|office","living-room|dining-room|office"
cmsmcnl2h00usoxeudejl1wl5,"Funny Apron Wall","kitchen",""
cmsmd824j015poxeusrdxds4n,"Post-Apocalyptic Cooking and Scavenging","kitchen|living-room","living-room"
cmijkw7kl0042oxc8tzdmifsh,"Breakfast Cereals","kitchen",""
cmijix7w6000moxs3mzx8x8n3,"Delilah","kitchen|living-room","living-room"
cmil0xwh8005soxeeu6b33x6c,"Realistic Living Refrigerators","","kitchen"
cmil0y7ti005zoxeefae1ozmf,"Fridge","minimalist","minimalist|kitchen"
cmil0ya9k0061oxee7ynxl2ye,"Retro ReBOOT – April Refrigerator","vintage|minimalist","vintage|minimalist|kitchen"
cmil0z1hk006hoxeeeia4hzyd,"Alces Refrigerator","modern|minimalist","modern|minimalist|kitchen"
cmijqdc5b01gtoxc8m6ty4lqy,"Bunny Fridge","easter","easter|kitchen"
cmil0xiel005noxeepdmxvdjd,"Glass Fridge","modern","modern|kitchen"
cmil0u1so0042oxeehnfoh9pl,"Arthouse Wallpaper","bathroom|kitchen|living-room|office","bathroom|living-room|office"
cmil0xv8q005roxeerc0dzmhb,"Family Fridge","","kitchen"
cmil0yfmn0064oxeee45cjzz2,"Country Cottage Refrigerator","cottagecore","cottagecore|kitchen"
cmil0yd8i0063oxeekt8pcu99,"Isla Refrigerator","","kitchen"
cmil0yjsw0065oxee6zcldq29,"Dasyatis Refrigerator","minimalist|luxury","minimalist|luxury|kitchen"
cmim8y5il010xoxy83g4seddt,"The Coastal Collection Part Three","kitchen",""
cmjh4kznl001ooxyv87nwahyz,"Holiday Cooking Decor 1","kitchen",""
cmim9lh0f009loxy7v15jsivs,"Sims 4 50s CC Tea Kettle","vintage","vintage|kitchen"
cmim9lvzz00cgoxy7n42aogwf,"Dishes Clutter for Sims 4","kitchen|dining-room","dining-room"
cmim9lw6p00cjoxy7mwvpcf4w,"Dining Dishware Clutter","kitchen|dining-room","dining-room"
cmijlmocs006moxc8ord7eeef,"Oni’s Recipe Pack (Cultural Meals & Global Cuisine)","kitchen",""
cmijo1skh00njoxc83rbu2at7,"Brick Walls Ideas","kitchen|outdoor","outdoor"
cmsmce2lg00ploxeu0dgl7xbm,"Folklore Set","kitchen|living-room|outdoor","living-room|outdoor"
