id,reason,old_title,new_title,method,applied
cmijnl4zw00f8oxc85nitwz54,mostly-digits,"Hair 34, 35, 36","",none,false
cmijnld1n00fdoxc81p4gsunh,mostly-digits,"Hair 30, 31, 32","",none,false
cmikd78hs000soxbhxrl6ojnt,too-short,"Eva","",none,false
cmikis11g0058oxnazhjdh9m6,too-short,"Fro","",none,false
cmikj3vpr00awoxnakx5is2yk,numeric-only,"2025 #82","",none,false
cmil0mqbf000ooxeeduf9af9f,numeric-only,"2025 81","",none,false
cmim8wml700q5oxy8gpan8gmx,mostly-digits,"CC #47.2","",none,false
cmknfbyrn009boxole8zipd9a,too-short,"NYE","",none,false
cml5shgfv000voxxrvzu7phvq,mostly-digits,"Hair 0417-2","",none,false
cmmvapnop005moxzgxeuose2w,mostly-digits,"June 2024 #1","",none,false
